Index_disease	Index_disease_id	Associated_disease	Associated_disease_id	Co-mentions
Leukemia	MESH:D007938	Acquired Immunodeficiency Syndrome	MESH:D000163	906
Lymphoma	MESH:D008223	Ovarian Neoplasms	MESH:D010051	901
Lymphoma	MESH:D008223	Syndrome	MESH:D013577	898
Multiple Myeloma	MESH:D009101	Neoplasms, Plasma Cell	MESH:D054219	890
Lymphoma	MESH:D008223	Carcinoma, Squamous Cell	MESH:D002294	874
Multiple Myeloma	MESH:D009101	Anemia	MESH:D000740	867
Leukemia	MESH:D007938	Anemia, Aplastic	MESH:D000741	866
Leukemia	MESH:D007938	Primary Myelofibrosis	MESH:D055728	863
Lymphoma	MESH:D008223	Thrombocytopenia	MESH:D013921	838
Leukemia	MESH:D007938	Brain Neoplasms	MESH:D001932	832
Multiple Myeloma	MESH:D009101	Kidney Diseases	MESH:D007674	828
Lymphoma	MESH:D008223	Ataxia Telangiectasia	MESH:D001260	827
Leukemia	MESH:D007938	Ataxia Telangiectasia	MESH:D001260	820
Leukemia	MESH:D007938	Burkitt Lymphoma	MESH:D002051	819
Leukemia	MESH:D007938	Neoplasms, Second Primary	MESH:D016609	806
Multiple Myeloma	MESH:D009101	Chromosome Aberrations	MESH:D002869	806
Multiple Myeloma	MESH:D009101	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	MESH:D015464	805
Leukemia	MESH:D007938	Carcinoma	MESH:D002277	795
Lymphoma	MESH:D008223	Tuberculosis	MESH:D014376	786
Lymphoma	MESH:D008223		MESH:C537112	783
Lymphoma	MESH:D008223	Pseudolymphoma	MESH:D019310	779
Leukemia	MESH:D007938	Leukemia, Erythroblastic, Acute	MESH:D004915	775
Leukemia	MESH:D007938	Infections	MESH:D007239	766
Lymphoma	MESH:D008223	Brain Neoplasms	MESH:D001932	762
Lymphoma	MESH:D008223	Huntington Disease	MESH:D006816	759
Leukemia	MESH:D007938	Multicystic renal dysplasia, bilateral	MESH:C537373	755
Multiple Myeloma	MESH:D009101	Acro-Osteolysis	MESH:D030981	753
Lymphoma	MESH:D008223	Weight Loss	MESH:D015431	745
Leukemia	MESH:D007938	Bone Marrow Diseases	MESH:D001855	736
Leukemia	MESH:D007938	Prostatic Neoplasms	MESH:D011471	731
Multiple Myeloma	MESH:D009101	Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198	721
Multiple Myeloma	MESH:D009101	Thrombocytopenia	MESH:D013921	712
Lymphoma	MESH:D008223	Mycosis Fungoides	MESH:D009182	711
Leukemia	MESH:D007938	Lymphoproliferative Disorders	MESH:D008232	710
Leukemia	MESH:D007938	Lymphoma, Large B-Cell, Diffuse	MESH:D016403	703
Leukemia	MESH:D007938	Acute Disease	MESH:D000208	703
Lymphoma	MESH:D008223	Immune System Diseases	MESH:D007154	703
Lymphoma	MESH:D008223	Castleman Disease	MESH:D005871	702
Lymphoma	MESH:D008223	Liver Diseases	MESH:D008107	701
Leukemia	MESH:D007938	Carcinoma, Hepatocellular	MESH:D006528	694
Leukemia	MESH:D007938	Chronic Disease	MESH:D002908	694
Multiple Myeloma	MESH:D009101	Hypercalcemia	MESH:D006934	693
Lymphoma	MESH:D008223	Lung Diseases	MESH:D008171	690
Leukemia	MESH:D007938	Sepsis	MESH:D018805	687
Lymphoma	MESH:D008223	Colorectal Neoplasms	MESH:D015179	682
Lymphoma	MESH:D008223	Abdominal Pain	MESH:D015746	680
Lymphoma	MESH:D008223	Arthritis, Rheumatoid	MESH:D001172	677
Lymphoma	MESH:D008223	Hematologic Diseases	MESH:D006402	676
Leukemia	MESH:D007938		OMIM:605027	673
Leukemia	MESH:D007938	Leukemia, Myelomonocytic, Chronic	MESH:D015477	668
Leukemia	MESH:D007938	Splenomegaly	MESH:D013163	667
Lymphoma	MESH:D008223	Leukemia, B-Cell	MESH:D015448	664
Lymphoma	MESH:D008223	Anemia	MESH:D000740	663
Lymphoma	MESH:D008223	Splenomegaly	MESH:D013163	661
Multiple Myeloma	MESH:D009101	Disease	MESH:D004194	659
Lymphoma	MESH:D008223	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054218	654
Leukemia	MESH:D007938	Neuroblastoma	MESH:D009447	652
Lymphoma	MESH:D008223	Skin Neoplasms	MESH:D012878	648
Multiple Myeloma	MESH:D009101	Peripheral Nervous System Diseases	MESH:D010523	641
Multiple Myeloma	MESH:D009101	Waldenstrom Macroglobulinemia	MESH:D008258	641
Leukemia	MESH:D007938	Leukemia, Hairy Cell	MESH:D007943	633
Lymphoma	MESH:D008223	Lymphoma, AIDS-Related	MESH:D016483	630
Leukemia	MESH:D007938	Wilms Tumor	MESH:D009396	626
Leukemia	MESH:D007938	Leukemia-Lymphoma, Adult T-Cell	MESH:D015459	625
Multiple Myeloma	MESH:D009101	Lymphoproliferative Disorders	MESH:D008232	625
Multiple Myeloma	MESH:D009101	Neutropenia	MESH:D009503	623
Leukemia	MESH:D007938	Down Syndrome	MESH:D004314	616
Lymphoma	MESH:D008223	Skin Diseases	MESH:D012871	613
Leukemia	MESH:D007938	Leukemia, Megakaryoblastic, Acute	MESH:D007947	610
Lymphoma	MESH:D008223	Scleroderma, Systemic	MESH:D012595	600
Lymphoma	MESH:D008223	Carcinoma, Hepatocellular	MESH:D006528	596
Multiple Myeloma	MESH:D009101		OMIM:605027	595
Lymphoma	MESH:D008223	Heart Failure	MESH:D006333	588
Leukemia	MESH:D007938	HIV Infections	MESH:D015658	582
Lymphoma	MESH:D008223	Inflammation	MESH:D007249	582
Lymphoma	MESH:D008223	Waldenstrom Macroglobulinemia	MESH:D008258	577
Lymphoma	MESH:D008223	Neuroblastoma	MESH:D009447	577
Lymphoma	MESH:D008223	Sarcoidosis	MESH:D012507	573
Multiple Myeloma	MESH:D009101	Hematologic Diseases	MESH:D006402	572
Lymphoma	MESH:D008223	Pneumonia	MESH:D011014	566
Lymphoma	MESH:D008223	Leukemia, Myeloid	MESH:D007951	559
Leukemia	MESH:D007938	Colorectal Neoplasms	MESH:D015179	554
Leukemia	MESH:D007938	Leukemia, Myelomonocytic, Juvenile	MESH:D054429	553
Multiple Myeloma	MESH:D009101	Myelodysplastic Syndromes	MESH:D009190	553
Lymphoma	MESH:D008223	Hyperplasia	MESH:D006965	550
Leukemia	MESH:D007938	Pneumonia	MESH:D011014	546
Lymphoma	MESH:D008223	Genetic Predisposition to Disease	MESH:D020022	546
Lymphoma	MESH:D008223	Hepatitis C	MESH:D006526	545
Lymphoma	MESH:D008223	Myelodysplastic Syndromes	MESH:D009190	543
Multiple Myeloma	MESH:D009101	Leukemia, Plasma Cell	MESH:D007952	538
Lymphoma	MESH:D008223	Kidney Diseases	MESH:D007674	536
Leukemia	MESH:D007938	Stomach Neoplasms	MESH:D013274	530
Leukemia	MESH:D007938	Pancytopenia	MESH:D010198	519
Leukemia	MESH:D007938	Leukocytosis	MESH:D007964	516
Lymphoma	MESH:D008223	Graft vs Host Disease	MESH:D006086	515
Lymphoma	MESH:D008223	Prostatic Neoplasms	MESH:D011471	514
Leukemia	MESH:D007938	Hemorrhage	MESH:D006470	513
Lymphoma	MESH:D008223	Paraproteinemias	MESH:D010265	509
Lymphoma	MESH:D008223	Thyroid Neoplasms	MESH:D013964	505
Lymphoma	MESH:D008223	Infections	MESH:D007239	504
Leukemia	MESH:D007938	Autoimmune Diseases	MESH:D001327	498
Multiple Myeloma	MESH:D009101	Prostatic Neoplasms	MESH:D011471	497
Multiple Myeloma	MESH:D009101	Lung Neoplasms	MESH:D008175	493
Multiple Myeloma	MESH:D009101	Fatigue	MESH:D005221	487
Leukemia	MESH:D007938	Trisomy	MESH:D014314	479
Leukemia	MESH:D007938	Leukemia, Myelomonocytic, Acute	MESH:D015479	478
Lymphoma	MESH:D008223	Opportunistic Infections	MESH:D009894	478
Lymphoma	MESH:D008223	Pancreatic Neoplasms	MESH:D010190	476
Multiple Myeloma	MESH:D009101	Neoplasms, Second Primary	MESH:D016609	474
Leukemia	MESH:D007938	Central Nervous System Neoplasms	MESH:D016543	473
Lymphoma	MESH:D008223	Lymphohistiocytosis, Hemophagocytic	MESH:D051359	468
Leukemia	MESH:D007938	Sarcoma, Myeloid	MESH:D023981	466
Lymphoma	MESH:D008223	Sepsis	MESH:D018805	466
Lymphoma	MESH:D008223	Diarrhea	MESH:D003967	465
Leukemia	MESH:D007938	Heart Failure	MESH:D006333	463
Lymphoma	MESH:D008223	Leukemia, Hairy Cell	MESH:D007943	462
Lymphoma	MESH:D008223	Pleural Effusion, Malignant	MESH:D016066	460
Leukemia	MESH:D007938	Lymphatic Diseases	MESH:D008206	454
Multiple Myeloma	MESH:D009101	Lymphoma, B-Cell	MESH:D016393	453
Multiple Myeloma	MESH:D009101	Bone Neoplasms	MESH:D001859	448
Leukemia	MESH:D007938	Epstein-Barr Virus Infections	MESH:D020031	447
Leukemia	MESH:D007938	Arthritis, Rheumatoid	MESH:D001172	445
Lymphoma	MESH:D008223	Central Nervous System Diseases	MESH:D002493	445
Lymphoma	MESH:D008223	Myositis	MESH:D009220	443
Multiple Myeloma	MESH:D009101	Arthralgia	MESH:D018771	441
Lymphoma	MESH:D008223	Pain	MESH:D010146	440
Leukemia	MESH:D007938	Liver Diseases	MESH:D008107	438
Lymphoma	MESH:D008223	Kidney Neoplasms	MESH:D007680	438
Lymphoma	MESH:D008223	Dyspnea	MESH:D004417	436
Lymphoma	MESH:D008223	Fatigue	MESH:D005221	433
Multiple Myeloma	MESH:D009101	Osteoporosis	MESH:D010024	433
Lymphoma	MESH:D008223	Pilotto syndrome	MESH:C537400	430
Lymphoma	MESH:D008223	Plasmacytoma	MESH:D010954	430
Multiple Myeloma	MESH:D009101	Colonic Neoplasms	MESH:D003110	430
Leukemia	MESH:D007938	Immune System Diseases	MESH:D007154	429
Lymphoma	MESH:D008223	Edema	MESH:D004487	426
Leukemia	MESH:D007938	Anemia, Refractory	MESH:D000753	424
Lymphoma	MESH:D008223	Uterine Cervical Neoplasms	MESH:D002583	421
Multiple Myeloma	MESH:D009101	Lymphoma, Large B-Cell, Diffuse	MESH:D016403	419
Multiple Myeloma	MESH:D009101	Melanoma	MESH:D008545	419
Leukemia	MESH:D007938	Syndrome	MESH:D013577	417
Lymphoma	MESH:D008223	Helicobacter Infections	MESH:D016481	414
Lymphoma	MESH:D008223	Nasopharyngeal Neoplasms	MESH:D009303	413
Lymphoma	MESH:D008223	Lupus Erythematosus, Systemic	MESH:D008180	411
Lymphoma	MESH:D008223	Necrosis	MESH:D009336	411
Leukemia	MESH:D007938	Polycythemia Vera	MESH:D011087	408
Leukemia	MESH:D007938	Kidney Neoplasms	MESH:D007680	407
Lymphoma	MESH:D008223	Inflammatory Bowel Diseases	MESH:D015212	406
Multiple Myeloma	MESH:D009101	Proteinuria	MESH:D011507	406
Leukemia	MESH:D007938	Murine Acquired Immunodeficiency Syndrome	MESH:D016183	405
Multiple Myeloma	MESH:D009101	Scleroderma, Systemic	MESH:D012595	404
Lymphoma	MESH:D008223	Liver Neoplasms	MESH:D008113	403
Multiple Myeloma	MESH:D009101	Graft vs Host Disease	MESH:D006086	402
Multiple Myeloma	MESH:D009101	Acute Kidney Injury	MESH:D058186	399
Leukemia	MESH:D007938	Lymphoma, Follicular	MESH:D008224	393
Multiple Myeloma	MESH:D009101	Pain	MESH:D010146	391
Leukemia	MESH:D007938	Thyroid Neoplasms	MESH:D013964	390
Leukemia	MESH:D007938	Urinary Bladder Neoplasms	MESH:D001749	390
Lymphoma	MESH:D008223	Renal Insufficiency	MESH:D051437	390
Lymphoma	MESH:D008223	Carcinoma, Renal Cell	MESH:D002292	388
Lymphoma	MESH:D008223	Carcinoma, Small Cell	MESH:D018288	387
Lymphoma	MESH:D008223	Celiac Disease	MESH:D002446	386
Leukemia	MESH:D007938	Blast Crisis	MESH:D001752	384
Multiple Myeloma	MESH:D009101	Lymphoma, Mantle-Cell	MESH:D020522	384
Lymphoma	MESH:D008223	Fibrosis	MESH:D005355	382
Leukemia	MESH:D007938	Lymphoma, Mantle-Cell	MESH:D020522	381
Lymphoma	MESH:D008223	Head and Neck Neoplasms	MESH:D006258	379
Leukemia	MESH:D007938	Diabetes Mellitus	MESH:D003920	378
Lymphoma	MESH:D008223	Hepatitis B	MESH:D006509	378
Lymphoma	MESH:D008223	Skin Diseases, Vesiculobullous	MESH:D012872	375
Multiple Myeloma	MESH:D009101	Fractures, Spontaneous	MESH:D005598	375
Leukemia	MESH:D007938	Uterine Cervical Neoplasms	MESH:D002583	373
Lymphoma	MESH:D008223	Testicular Neoplasms	MESH:D013736	371
Lymphoma	MESH:D008223	Paraparesis, Tropical Spastic	MESH:D015493	368
Lymphoma	MESH:D008223	Thymoma	MESH:D013945	366
Lymphoma	MESH:D008223	Glioma	MESH:D005910	364
Lymphoma	MESH:D008223	Osteosarcoma	MESH:D012516	364
Leukemia	MESH:D007938	Lung Diseases	MESH:D008171	361
Lymphoma	MESH:D008223	Nausea	MESH:D009325	361
Lymphoma	MESH:D008223	Chronic Disease	MESH:D002908	361
Leukemia	MESH:D007938	Enterocolitis, Neutropenic	MESH:D044504	357
Lymphoma	MESH:D008223	Small Cell Lung Carcinoma	MESH:D055752	357
Lymphoma	MESH:D008223	Gastrointestinal Diseases	MESH:D005767	357
Lymphoma	MESH:D008223	Hemorrhage	MESH:D006470	355
Multiple Myeloma	MESH:D009101	Fever	MESH:D005334	353
Leukemia	MESH:D007938	Skin Neoplasms	MESH:D012878	348
Leukemia	MESH:D007938	Osteosarcoma	MESH:D012516	347
Leukemia	MESH:D007938	Skin Diseases	MESH:D012871	343
Lymphoma	MESH:D008223	Urinary Bladder Neoplasms	MESH:D001749	343
Lymphoma	MESH:D008223	Gastrointestinal Neoplasms	MESH:D005770	342
Lymphoma	MESH:D008223	Crohn Disease	MESH:D003424	342
Leukemia	MESH:D007938	Bacterial Infections	MESH:D001424	339
Lymphoma	MESH:D008223	Neoplasms, Germ Cell and Embryonal	MESH:D009373	337
Lymphoma	MESH:D008223	Lung Diseases, Interstitial	MESH:D017563	336
Lymphoma	MESH:D008223	Gastritis	MESH:D005756	336
Lymphoma	MESH:D008223	Rhabdomyosarcoma	MESH:D012208	334
Leukemia	MESH:D007938	Nausea	MESH:D009325	333
Lymphoma	MESH:D008223	Heart Diseases	MESH:D006331	332
Lymphoma	MESH:D008223	Lymphadenitis	MESH:D008199	329
Lymphoma	MESH:D008223	Diabetes Mellitus	MESH:D003920	327
Lymphoma	MESH:D008223	Mediastinal Neoplasms	MESH:D008479	325
Multiple Myeloma	MESH:D009101	Heart Failure	MESH:D006333	325
Lymphoma	MESH:D008223	Mediastinal Diseases	MESH:D008477	324
Leukemia	MESH:D007938	Pancreatic Neoplasms	MESH:D010190	320
Lymphoma	MESH:D008223	Histiocytosis, Langerhans-Cell	MESH:D006646	320
Leukemia	MESH:D007938	Carcinoma, Squamous Cell	MESH:D002294	319
Lymphoma	MESH:D008223	Sarcoma, Ewing	MESH:D012512	319
Multiple Myeloma	MESH:D009101	Bone Resorption	MESH:D001862	319
Lymphoma	MESH:D008223	Wilms Tumor	MESH:D009396	318
Multiple Myeloma	MESH:D009101	Cranial Nerve Diseases	MESH:D003389	318
Leukemia	MESH:D007938	Central Nervous System Diseases	MESH:D002493	315
Leukemia	MESH:D007938	Philadelphia Chromosome	MESH:D010677	315
Lymphoma	MESH:D008223	Granuloma	MESH:D006099	315
Lymphoma	MESH:D008223	Hepatitis	MESH:D006505	313
Lymphoma	MESH:D008223	Vasculitis	MESH:D014657	311
Leukemia	MESH:D007938	Glioma	MESH:D005910	310
Leukemia	MESH:D007938	Leukemic Infiltration	MESH:D017254	310
Lymphoma	MESH:D008223	Adenoma	MESH:D000236	310
Leukemia	MESH:D007938	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D015452	309
Lymphoma	MESH:D008223	Giant Cell Tumors	MESH:D005870	309
Leukemia	MESH:D007938	Bacterial Infections and Mycoses	MESH:D001423	308
Multiple Myeloma	MESH:D009101	Ovarian Neoplasms	MESH:D010051	308
Lymphoma	MESH:D008223		OMIM:252600	307
Lymphoma	MESH:D008223	Communicable Diseases	MESH:D003141	306
Leukemia	MESH:D007938	Retinoblastoma	MESH:D012175	305
Lymphoma	MESH:D008223	Lymphocytosis	MESH:D008218	305
Lymphoma	MESH:D008223	Nervous System Diseases	MESH:D009422	304
Multiple Myeloma	MESH:D009101	Autoimmune Diseases	MESH:D001327	302
Lymphoma	MESH:D008223	Esophageal Neoplasms	MESH:D004938	301
Leukemia	MESH:D007938	Diarrhea	MESH:D003967	299
Leukemia	MESH:D007938	Inflammation	MESH:D007249	297
Leukemia	MESH:D007938	Adenocarcinoma	MESH:D000230	297
Lymphoma	MESH:D008223	Bone Marrow Diseases	MESH:D001855	296
Leukemia	MESH:D007938	Hereditary Breast and Ovarian Cancer Syndrome	MESH:D061325	295
Lymphoma	MESH:D008223	Hypercalcemia	MESH:D006934	295
Lymphoma	MESH:D008223	Headache	MESH:D006261	295
Leukemia	MESH:D007938	Leukemia L1210	MESH:D007939	294
Multiple Myeloma	MESH:D009101	Arthritis, Rheumatoid	MESH:D001172	293
Lymphoma	MESH:D008223	Stomach Diseases	MESH:D013272	291
Lymphoma	MESH:D008223	Carcinoma, Large Cell	MESH:D018287	290
Leukemia	MESH:D007938	Thrombosis	MESH:D013927	288
Lymphoma	MESH:D008223	Cranial Nerve Diseases	MESH:D003389	288
Lymphoma	MESH:D008223	Cytomegalovirus Infections	MESH:D003586	288
Leukemia	MESH:D007938	Bacteremia	MESH:D016470	287
Multiple Myeloma	MESH:D009101	Bisphosphonate-Associated Osteonecrosis of the Jaw	MESH:D059266	285
Multiple Myeloma	MESH:D009101	Lymphoma, Follicular	MESH:D008224	284
Leukemia	MESH:D007938	Thrombocythemia, Essential	MESH:D013920	282
Leukemia	MESH:D007938	Lymphoma, T-Cell, Cutaneous	MESH:D016410	281
Leukemia	MESH:D007938	Monosomy	MESH:D009006	281
Lymphoma	MESH:D008223	Bone Neoplasms	MESH:D001859	280
Lymphoma	MESH:D008223	Pancytopenia	MESH:D010198	279
Lymphoma	MESH:D008223	Intestinal Obstruction	MESH:D007415	277
Leukemia	MESH:D007938	Fatigue	MESH:D005221	276
Lymphoma	MESH:D008223	Meningioma	MESH:D008579	274
Lymphoma	MESH:D008223	Infectious Mononucleosis	MESH:D007244	272
Lymphoma	MESH:D008223	Acute Disease	MESH:D000208	272
Lymphoma	MESH:D008223	Neurologic Manifestations	MESH:D009461	272
Leukemia	MESH:D007938	Lung Diseases, Interstitial	MESH:D017563	270
Lymphoma	MESH:D008223	Leukopenia	MESH:D007970	270
Leukemia	MESH:D007938	Pain	MESH:D010146	269
Lymphoma	MESH:D008223	Respiratory Insufficiency	MESH:D012131	269
Multiple Myeloma	MESH:D009101	Carcinoma	MESH:D002277	269
Leukemia	MESH:D007938	Congenital Abnormalities	MESH:D000013	268
Leukemia	MESH:D007938	Disseminated Intravascular Coagulation	MESH:D004211	267
Leukemia	MESH:D007938	Mucositis	MESH:D052016	267
Leukemia	MESH:D007938	Pilotto syndrome	MESH:C537400	266
Leukemia	MESH:D007938	Liver Neoplasms	MESH:D008113	266
Leukemia	MESH:D007938	Testicular Neoplasms	MESH:D013736	266
Leukemia	MESH:D007938	Leukopenia	MESH:D007970	265
Lymphoma	MESH:D008223	Vomiting	MESH:D014839	264
Lymphoma	MESH:D008223	Glioblastoma	MESH:D005909	263
Leukemia	MESH:D007938	Renal Insufficiency	MESH:D051437	262
Leukemia	MESH:D007938	Sarcoma, Ewing	MESH:D012512	260
